radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,404,78,33031,19905316,0,77.410354614258,23.268356323242003,1000,1,1,1452873555,1452873555,0
UMTS,404,78,33031,19917396,0,77.38975500000001,23.266525,1000,3,1,1458633505,1484252368,0
UMTS,404,78,33031,19906617,0,77.38014221191399,23.261489868164002,1000,3,1,1458633505,1483109734,0
UMTS,404,78,33031,20207036,0,77.45018005371101,23.239517211914002,1000,2,1,1458633505,1476321037,0
UMTS,404,78,33081,19879076,0,77.397994995117,23.242263793944996,1000,1,1,1453382135,1453382135,0
UMTS,404,78,33031,19880957,0,77.51197814941399,23.253250122070003,1000,1,1,1457562251,1457562251,0
UMTS,404,78,33031,19880646,0,77.44743347168,23.313674926757997,1000,1,1,1457562251,1457562251,0
UMTS,404,78,33031,19883844,0,77.400741577148,23.261489868164002,1000,1,1,1451465497,1451465497,0
UMTS,404,78,33031,19883825,0,77.420311,23.264236,1000,4,1,1458633504,1489842629,0
UMTS,404,78,33031,19881787,0,77.387008666992,23.266983032227,1000,1,1,1453382135,1453382135,0
UMTS,404,78,33031,19883297,0,77.41584777832,23.273849487305004,1000,1,1,1444888284,1444888284,0
UMTS,404,78,33031,19881837,0,77.47901916503899,23.232650756835998,1000,1,1,1456293108,1456293108,0
UMTS,404,78,33031,19883945,0,77.415161,23.274535999999998,1000,2,1,1458633504,1474181390,0
UMTS,404,78,33031,19885406,0,77.431641,23.25943,1000,2,1,1458633505,1477057652,0
UMTS,404,78,33031,19917007,0,77.49412536621101,23.227157592773,1000,1,1,1451346658,1451346658,0
UMTS,404,78,33031,19884485,0,77.257919,23.24707,1000,2,1,1458633505,1463034728,0
UMTS,404,78,33031,19906616,0,77.385361,23.250229,1000,5,1,1458633505,1485384290,0
UMTS,404,78,33031,19905297,0,77.41310119628899,23.308181762694996,1000,1,1,1457562240,1457562240,0
UMTS,404,78,33031,19884116,0,77.436447143555,23.247756958007997,1000,1,1,1441400809,1441400809,0
UMTS,404,78,33031,19885157,0,77.45658900000001,23.325119,1000,3,1,1458633505,1483870305,0
UMTS,404,78,33031,20206317,0,77.432327270508,23.243637084960998,1000,1,1,1432622216,1432622216,0
UMTS,404,78,33081,20186656,0,77.393875,23.212738,1000,2,1,1458633513,1485405386,0
UMTS,404,78,33081,19883454,0,77.514724731445,23.214797973632997,1000,1,1,1457562229,1457562229,0
UMTS,404,78,33081,19880086,0,77.421340942383,23.240890502929997,1000,1,1,1434566578,1434566578,0
UMTS,404,78,33081,19880106,0,77.45018005371101,23.238143920898,1000,2,1,1458633513,1489286537,0
UMTS,404,78,33031,19881847,0,77.40348815918,23.302688598632997,1000,1,1,1444361298,1444361298,0
UMTS,404,78,33031,19885156,0,77.507858276367,23.302688598632997,1000,1,1,1457562251,1457562251,0
UMTS,404,78,33031,19885155,0,77.48107900000001,23.334274,1000,2,1,1458633505,1483870305,0
UMTS,404,78,33031,19907245,0,77.361374,23.312302,1000,3,1,1458633505,1485316640,0
UMTS,404,78,33031,19905327,0,77.38014221191399,23.284835815429997,1000,1,1,1444647568,1444647568,0
UMTS,404,78,33031,20206315,0,77.432327270508,23.243637084960998,1000,1,1,1435376464,1435376464,0
UMTS,404,78,33031,19905335,0,77.51197814941399,23.246383666992003,1000,1,1,1457562251,1457562251,0
