,radio,lon,lat,range,TowerID
418,GSM,77.42408752441399,23.236770629882997,1000,40458-3101-10002
419,UMTS,77.41721899999997,23.310588,5626,40478-33031-19878685
420,GSM,77.468491,23.283463,1000,40478-35501-11711
421,GSM,77.46884399999998,23.285273,4233,40478-35501-10691
422,UMTS,77.476958,23.298569,2638,40478-33031-19879607
423,UMTS,77.463226,23.283463,1000,40478-33031-19881755
424,UMTS,77.459106445312,23.271789550781,1000,40458-5001-19727787
425,UMTS,77.457596,23.268003,1652,40458-5001-19727789
426,UMTS,77.45704650878899,23.272476196289002,1000,40458-5001-19729049
427,GSM,77.457321,23.272476,1000,40458-1013-1459
428,UMTS,77.457047,23.260031,1000,40458-5001-19788629
429,UMTS,77.456654,23.253986,1000,40458-5001-19728547
430,UMTS,77.457047,23.257507,1000,40458-5001-19727439
431,GSM,77.464943,23.25634,1000,40467-61302-34282
432,GSM,77.442626,23.255998,2085,40467-61302-34233
433,UMTS,77.43782,23.168564,1000,40458-5001-19727477
434,GSM,77.439537,23.228016,1000,40478-38004-10713
435,GSM,77.422028,23.253479,1000,40478-35500-10583
436,GSM,77.455673,23.276596,1000,40493-7193-20918
437,UMTS,77.403488,23.255539,1000,40478-33031-19879647
438,GSM,77.43782,23.239792,1000,40493-39045-8187
439,GSM,77.438278,23.242722,1000,40493-39045-14944
440,GSM,77.42967900000002,23.238242,1000,40458-3091-9603
441,GSM,77.430679,23.238968,1000,40458-3091-9601
442,GSM,77.431641,23.240662,1000,40458-3091-11173
443,GSM,77.432327270508,23.242263793944996,1000,40458-3091-11202
444,GSM,77.43109100000002,23.246006,1000,40458-3091-11201
445,GSM,77.427658,23.248691,1000,40458-3091-11471
446,GSM,77.42456700000002,23.25226,1000,40458-3091-9361
447,GSM,77.425632,23.25325,1000,40458-3091-9152
448,GSM,77.42189,23.255502,1000,40458-3091-9661
449,GSM,77.421341,23.255785,1000,40458-3091-9363
450,GSM,77.422212,23.25871,1000,40458-3091-9962
451,GSM,77.426422,23.251602,1000,40458-3091-11193
452,GSM,77.423252,23.259251000000006,1000,40458-3091-9153
453,GSM,77.421340942383,23.258743286132997,1000,40458-3091-9262
